department,date,rainfall_qty,year,month_name,month
BORGOU,2012-01-01,0.0,2012,January,1
ALIBORI,2012-01-01,0.0,2012,January,1
ATACORA,2012-01-01,9.87,2012,January,1
DONGA,2012-01-01,0.0,2012,January,1
ZOU,2012-01-01,1.14,2012,January,1
HILLS,2012-01-01,10.78,2012,January,1
MONO,2012-01-01,1.45,2012,January,1
COUFFO,2012-01-01,0.0,2012,January,1
OUEME,2012-01-01,0.0,2012,January,1
PLATEAU,2012-01-01,0.0,2012,January,1
ATLANTIC,2012-01-01,0.66,2012,January,1
LITTORAL,2012-01-01,0.0,2012,January,1
BORGOU,2013-01-01,1.6375,2013,January,1
ALIBORI,2013-01-01,0.0,2013,January,1
ATACORA,2013-01-01,0.0,2013,January,1
DONGA,2013-01-01,0.0,2013,January,1
ZOU,2013-01-01,0.0,2013,January,1
HILLS,2013-01-01,0.0,2013,January,1
MONO,2013-01-01,2.375,2013,January,1
COUFFO,2013-01-01,18.17083333333333,2013,January,1
OUEME,2013-01-01,55.360625,2013,January,1
PLATEAU,2013-01-01,12.975,2013,January,1
ATLANTIC,2013-01-01,28.432499999999997,2013,January,1
LITTORAL,2013-01-01,35.0,2013,January,1
BORGOU,2014-01-01,13.935,2014,January,1
ALIBORI,2014-01-01,6.883333333333334,2014,January,1
ATACORA,2014-01-01,2.2277777777777774,2014,January,1
DONGA,2014-01-01,18.6475,2014,January,1
ZOU,2014-01-01,17.763333333333335,2014,January,1
HILLS,2014-01-01,20.525,2014,January,1
MONO,2014-01-01,22.910526315789472,2014,January,1
COUFFO,2014-01-01,20.089600000000004,2014,January,1
OUEME,2014-01-01,32.548148148148144,2014,January,1
PLATEAU,2014-01-01,21.008666666666667,2014,January,1
ATLANTIC,2014-01-01,45.171875,2014,January,1
LITTORAL,2014-01-01,50.394999999999996,2014,January,1
BORGOU,2015-01-01,1.2830188679245282,2015,January,1
ALIBORI,2015-01-01,0.0,2015,January,1
ATACORA,2015-01-01,0.0,2015,January,1
DONGA,2015-01-01,2.033405172413793,2015,January,1
ZOU,2015-01-01,2.4791666666666665,2015,January,1
HILLS,2015-01-01,2.996969696969697,2015,January,1
MONO,2015-01-01,0.3068421052631579,2015,January,1
COUFFO,2015-01-01,0.0,2015,January,1
OUEME,2015-01-01,0.0,2015,January,1
PLATEAU,2015-01-01,1.7833333333333334,2015,January,1
ATLANTIC,2015-01-01,0.0,2015,January,1
LITTORAL,2015-01-01,0.0,2015,January,1
BORGOU,2016-01-01,0.0,2016,January,1
ALIBORI,2016-01-01,0.0,2016,January,1
ATACORA,2016-01-01,0.0,2016,January,1
DONGA,2016-01-01,0.0,2016,January,1
ZOU,2016-01-01,0.0,2016,January,1
HILLS,2016-01-01,0.0,2016,January,1
MONO,2016-01-01,0.0,2016,January,1
COUFFO,2016-01-01,0.0,2016,January,1
OUEME,2016-01-01,16.178571428571427,2016,January,1
PLATEAU,2016-01-01,4.183333333333334,2016,January,1
ATLANTIC,2016-01-01,4.677777777777777,2016,January,1
LITTORAL,2016-01-01,0.0,2016,January,1
BORGOU,2017-01-01,0.0,2017,January,1
ALIBORI,2017-01-01,0.0,2017,January,1
ATACORA,2017-01-01,0.0,2017,January,1
DONGA,2017-01-01,0.0,2017,January,1
ZOU,2017-01-01,1.02,2017,January,1
HILLS,2017-01-01,11.74,2017,January,1
MONO,2017-01-01,12.51,2017,January,1
COUFFO,2017-01-01,7.383333333333333,2017,January,1
OUEME,2017-01-01,19.0,2017,January,1
PLATEAU,2017-01-01,13.35,2017,January,1
ATLANTIC,2017-01-01,7.145454545454545,2017,January,1
LITTORAL,2017-01-01,8.5,2017,January,1
BORGOU,2018-01-01,0.0,2018,January,1
ALIBORI,2018-01-01,0.0,2018,January,1
ATACORA,2018-01-01,0.0,2018,January,1
DONGA,2018-01-01,0.0,2018,January,1
ZOU,2018-01-01,0.0,2018,January,1
HILLS,2018-01-01,0.0,2018,January,1
MONO,2018-01-01,0.0,2018,January,1
COUFFO,2018-01-01,0.0,2018,January,1
OUEME,2018-01-01,0.0,2018,January,1
PLATEAU,2018-01-01,0.0,2018,January,1
ATLANTIC,2018-01-01,0.0,2018,January,1
LITTORAL,2018-01-01,0.0,2018,January,1
BORGOU,2019-01-01,6.41,2019,January,1
ALIBORI,2019-01-01,0.0,2019,January,1
ATACORA,2019-01-01,0.78,2019,January,1
DONGA,2019-01-01,5.6,2019,January,1
ZOU,2019-01-01,21.6,2019,January,1
HILLS,2019-01-01,6.5,2019,January,1
MONO,2019-01-01,38.12,2019,January,1
COUFFO,2019-01-01,43.38095238095239,2019,January,1
OUEME,2019-01-01,74.0,2019,January,1
PLATEAU,2019-01-01,32.12,2019,January,1
ATLANTIC,2019-01-01,60.14166666666667,2019,January,1
LITTORAL,2019-01-01,112.0,2019,January,1
BORGOU,2020-01-01,0.0,2020,January,1
ALIBORI,2020-01-01,0.0,2020,January,1
ATACORA,2020-01-01,0.0,2020,January,1
DONGA,2020-01-01,0.0,2020,January,1
ZOU,2020-01-01,4.346296296296297,2020,January,1
HILLS,2020-01-01,1.01875,2020,January,1
MONO,2020-01-01,0.0,2020,January,1
COUFFO,2020-01-01,0.0,2020,January,1
OUEME,2020-01-01,0.0,2020,January,1
PLATEAU,2020-01-01,0.0,2020,January,1
ATLANTIC,2020-01-01,0.16666666666666666,2020,January,1
LITTORAL,2020-01-01,0.0,2020,January,1
